,Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies
0,BU79786,Washington,No,Basic,Bachelor,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize,0.04904912542752514,0.9987954508887468,0.0012246665620237326,0.0005679613041269484,8.87439537698357e-05,0.0,1.7748790753967138e-05
1,QZ44356,Arizona,No,Extended,Bachelor,1/31/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,0.9998888285603257,0.0,0.013466446937291529,0.0018623809594126581,0.006016923099640896,0.0,0.0011460805904077896
2,AI49188,Nevada,No,Premium,Bachelor,2/19/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,0.25549390345691153,0.966807935690057,0.002141104785090864,0.00035685079751514396,0.0007533516836430817,0.0,3.9650088612793774e-05
3,WW63253,California,No,Basic,Bachelor,1/20/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Medsize,0.9998645997264137,0.0,0.01386183140227965,0.002353895898500318,0.008500179633473371,0.0,0.0009154039605279014
4,HB64268,Washington,No,Basic,Bachelor,2/3/11,Employed,M,Rural,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,0.06405486134865915,0.9979444545677925,0.0016618748330926374,0.00027318490407002256,0.0010016779815900827,0.0,2.2765408672501882e-05
5,OC83172,Oregon,Yes,Basic,Bachelor,1/25/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize,0.1301400409447654,0.9914938939711734,0.001087613727449222,0.00022067524904766824,0.001481676672177201,0.0,3.152503557823832e-05
6,XZ87318,Oregon,Yes,Basic,College,2/24/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,0.09675964083118628,0.9953070076762102,0.0012047980038718353,0.0,0.0002337667768706546,0.0,0.0001618385378335301
7,CF85061,Arizona,No,Premium,Master,1/18/11,Unemployed,M,Urban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,0.9998575261287774,0.0,0.013994485357287395,0.0,0.009422029745500425,0.0,0.0005542370438529661
8,DY87989,Oregon,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,0.8638130514783527,0.5038058329749842,0.0025419424489215377,0.00046542608219690126,0.00010740601896851568,0.0,7.160401264567711e-05
9,BQ94931,Oregon,No,Extended,College,2/17/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Branch,Four-Door Car,Medsize,0.24838940400395743,0.9686549817595554,0.0031266456095945666,0.000571537369495781,0.00023533891685120393,0.0,0.0002689587621156616
10,SX51350,California,No,Basic,College,2/21/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,0.9998875425771226,0.0,0.014136437673173028,0.0048528069624325315,0.00105495803531142,0.0,0.0006329748211868519
11,VQ65197,California,No,Basic,College,1/6/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,0.9998481833139332,0.0,0.01341718383954812,0.0032933087606163564,0.01061177267309715,0.0,0.00036592319562403963
12,DP39365,California,No,Premium,Master,2/6/11,Employed,M,Urban,Married,Corporate Auto,Corporate L1,Offer2,Agent,Four-Door Car,Medsize,0.1134932617473071,0.9935371819997059,0.0014188597359329012,0.00011608852384905555,0.0010576954395136173,2.5797449744234568e-05,3.869617461635185e-05
