,Total Claim Amount
0,384.811147
1,1131.464935
2,566.4722469999999
3,529.881344
4,138.130879
5,159.383042
6,321.6
7,363.02968
8,511.2
9,425.527834
10,482.4
11,528.0
12,472.029737
13,528.0
14,307.13913199999996
15,42.920271
16,454.24509800000004
17,647.4420309999999
18,308.981664
19,484.8
20,355.2
21,379.2
22,511.2
23,554.376763
24,439.2
25,389.185006
26,799.2
27,516.237951
28,532.8
29,384.0
30,322.29404300000004
31,615.927769
32,308.15089
33,302.4
34,15.437681
35,204.475147
36,561.6
37,436.8
38,648.0
39,157.397849
40,484.31853600000005
41,18.918935
42,882.8719449999999
43,494.4
44,292.8
45,0.517753
46,579.165954
47,447.79344000000003
48,529.624084
49,313.023175
50,593.830288
51,508.8
52,173.956072
53,307.2
54,831.625979
55,436.8
56,302.56519
57,484.8
58,704.7681110000001
59,518.4
60,312.0
61,504.0
62,863.327324
63,104.331355
64,676.391482
65,350.4
66,537.6
67,465.25864400000006
68,456.0
69,500.25423499999994
70,281.451042
71,5.434505000000001
72,307.2
73,982.399613
74,467.803638
75,350.4
76,29.034159999999996
77,321.6
78,115.728852
79,427.63120999999995
80,25.807685
81,787.993313
82,489.6
83,302.4
84,475.623251
85,320.84907200000004
86,460.8
87,282.151207
88,321.6
89,364.8
90,679.827592
91,631.743039
92,11.879037
93,350.529033
94,863.3947
95,492.12753200000003
96,132.58828799999998
97,297.6
98,269.905129
99,380.036697
100,513.6
101,425.266308
102,49.011099
103,513.6
104,936.0
105,142.062768
106,45.152521
107,561.6
108,30.567357
109,271.606799
110,408.0
111,470.4
112,784.8
113,316.8
114,396.08203599999996
115,489.6
116,638.4
117,465.633954
118,368.400146
119,236.90200099999998
120,582.679087
121,64.109663
122,326.4
123,921.6
124,101.89645
125,542.4
126,143.747794
127,424.077159
128,316.8
129,2.704934
130,523.2
131,113.801497
132,192.87572
133,828.662719
134,532.8
135,975.1070980000001
136,53.798708
137,606.6424519999999
138,289.9122
139,392.604371
140,721.242206
141,456.52385
142,1087.995426
143,806.4
144,460.8
145,251.992083
146,345.6
147,321.6
148,99.25760799999999
149,504.0
150,336.0
151,178.006524
152,604.8
153,8.312729
154,316.599228
155,312.0
156,56.300724
157,393.6
158,701.7082389999999
159,128.70556299999998
160,679.368378
161,497.12682699999993
162,566.4
163,347.857619
164,554.4
165,465.41477000000003
166,496.8
167,292.8
168,256.81383700000004
169,355.2
170,542.319401
171,303.14839900000004
172,25.438063
173,292.8
174,787.993313
175,84.024413
176,215.8182
177,232.92614500000002
178,532.8
179,710.433775
180,552.0
181,1122.658899
182,408.374746
183,408.0
184,792.0
185,532.8
186,754.358929
187,702.990032
188,206.83711100000002
189,275.395894
190,459.738128
191,496.8
192,336.0
193,321.6
194,302.4
195,430.99410700000004
196,1836.0
197,67.632476
198,844.481918
199,364.8
200,722.4869940000001
201,590.4
202,481.027516
203,1124.4277339999999
204,669.682001
205,1284.093173
206,240.259479
207,912.0
208,556.8
209,115.086827
210,470.4
211,321.6
212,383.167471
213,307.963291
214,355.2
215,520.364752
216,466.436375
217,451.670309
218,537.6
219,345.6
220,355.2
221,331.2
222,428.734656
223,398.4
224,494.4
225,369.6
226,831.752839
227,156.124914
228,373.42818700000004
229,395.934815
230,350.4
231,231.20188599999997
232,289.90410499999996
233,729.6
234,326.4
235,350.4
236,105.765111
237,639.464548
238,292.8
239,383.442328
240,316.8
241,99.085943
242,307.2
243,566.935022
244,436.8
245,412.8
246,307.2
247,388.8
248,2345.413441
249,321.6
250,773.470977
251,424.88344800000004
252,523.2
253,508.8
254,364.240307
255,638.4
256,354.729129
257,283.995953
258,403.2
259,20.543176000000003
260,385.115437
261,140.16503500000002
262,326.4
263,321.6
264,398.4
265,102.879769
266,56.868289000000004
267,463.15850199999994
268,205.444066
269,741.6
270,56.371967000000005
271,813.6
272,494.4
273,795.864079
274,614.4
275,72.438681
