,customer,state,response,coverage,education,effective to date,employmentstatus,gender,location code,marital status,policy type,policy,renew offer type,sales channel,vehicle class,vehicle size,vehicle type
2,LZ68649,Washington,No,Basic,Bachelor,2/10/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize,A
3,XL78013,Oregon,Yes,Extended,College,1/11/11,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Four-Door Car,Medsize,A
10,HG93801,Arizona,No,Extended,High School or Below,1/2/11,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Large,A
13,KR82385,California,No,Basic,Master,1/26/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Medsize,A
16,FH51383,California,No,Basic,High School or Below,2/7/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Large,A
17,TR26615,Oregon,No,Basic,High School or Below,1/17/11,Unemployed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Two-Door Car,Medsize,A
18,ZC97968,California,No,Basic,College,2/14/11,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
19,NJ54277,California,Yes,Extended,College,2/26/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Large,A
20,OM80593,California,No,Basic,Bachelor,2/23/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,A
22,EQ62488,Oregon,No,Basic,College,1/15/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Luxury Car,Large,A
24,YK32760,Oregon,No,Basic,High School or Below,2/15/11,Unemployed,M,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Medsize,A
25,AY59197,Nevada,No,Extended,College,1/24/11,Employed,M,Rural,Married,Special Auto,Special L3,Offer4,Agent,SUV,Small,A
26,XF15789,Arizona,No,Basic,College,2/21/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Branch,SUV,Large,A
28,CI99444,Nevada,No,Basic,College,2/22/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Medsize,A
30,GX19342,California,No,Premium,High School or Below,1/28/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,A
32,OJ63606,Arizona,No,Premium,High School or Below,1/28/11,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Small,A
39,XD72019,Oregon,No,Extended,Bachelor,2/19/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Large,A
40,RR93140,California,No,Basic,College,1/5/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
42,PV62583,Nevada,No,Extended,College,1/3/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,A
43,BL12371,Arizona,No,Basic,Master,2/3/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Large,A
45,RI22468,Arizona,No,Basic,Bachelor,1/22/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Web,Four-Door Car,Medsize,A
48,UY32623,California,No,Extended,College,2/5/11,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large,A
49,QV30663,Nevada,No,Extended,Master,2/28/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize,A
50,MS94619,California,No,Basic,High School or Below,2/13/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,A
