,customer lifetime value,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,total claim amount,income_temp
0,8.478289555668603,48029,61,7.0,52,0.0,2.1972245773362196,5.679489782087156,48029.0
1,7.709095317429056,0,64,3.0,26,0.0,0.0,6.61328264409355,37536.28478460128
2,9.612327258077359,22139,100,34.0,31,0.0,0.6931471805599453,6.173786103901937,22139.0
3,10.0137955847249,49078,97,10.0,3,0.0,0.6931471805599453,6.182112615010439,49078.0
4,9.107761265167552,23675,117,,31,,1.9459101490553132,6.562339066992168,23675.0
5,8.464885016738174,50549,61,2.0,73,0.0,1.9459101490553132,5.679489782087156,50549.0
6,8.524175807511464,37405,63,8.0,99,3.0,1.3862943611198906,5.661417995979797,37405.0
7,8.50840412750154,87197,63,35.0,45,0.0,1.0986122886681098,5.5110159708266595,87197.0
8,8.697808949328836,66839,154,33.0,24,0.0,0.0,6.605568520327474,66839.0
9,9.747671295154348,70961,85,19.0,8,0.0,0.6931471805599453,6.0112671744041615,70961.0
10,8.547676628963396,82730,127,13.0,31,0.0,0.0,6.092488117549845,82730.0
11,7.791816944486675,31710,62,5.0,29,0.0,0.0,5.296073526019712,31710.0
12,9.901247902892175,69096,99,24.0,32,0.0,0.6931471805599453,4.169289915816957,69096.0
13,8.604212355358882,66334,69,25.0,25,0.0,1.3862943611198906,5.8027224225111045,66334.0
14,9.460009743114483,0,116,6.0,28,0.0,0.6931471805599453,6.727671217128374,37536.28478460128
15,8.439620999653604,79487,114,20.0,87,0.0,0.0,6.3048143663083405,79487.0
16,8.580482993353408,76717,66,26.0,10,0.0,1.791759469228055,5.705542854278376,76717.0
17,7.823058126659341,0,69,5.0,74,0.0,0.0,5.607203528641657,37536.28478460128
18,7.914381167731221,17533,73,10.0,1,0.0,0.0,5.859075359062237,17533.0
19,8.228644510234226,41479,94,14.0,38,1.0,0.0,2.974288132711342,41479.0
20,8.888386124003773,0,104,9.0,58,0.0,1.9459101490553132,6.213006817055218,37536.28478460128
21,8.744240744986982,13662,85,29.0,37,0.0,1.0986122886681098,6.0112671744041615,13662.0
22,9.61790756914621,59456,189,11.0,7,0.0,2.0794415416798357,6.810362932973487,59456.0
