,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.0,2763.519279,56274.0,69.0,32.0,5.0,0.0,1.0,0.0,600.0,4.0,0.0,0.0,0.0,47.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0
1,1.0,6979.535903,0.0,94.0,13.0,42.0,0.0,8.0,1.0,5946.0,0.0,0.0,1.0,0.0,24.0,4.0,0.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,1.0
2,2.0,12887.43165,48767.0,108.0,18.0,38.0,0.0,2.0,2.0,96.0,2.0,0.0,2.0,0.0,41.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0
3,3.0,7645.861827,0.0,106.0,18.0,65.0,0.0,7.0,3.0,8016.0,1.0,0.0,0.0,0.0,12.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0
4,4.0,2813.692575,43836.0,73.0,12.0,44.0,0.0,1.0,4.0,2488.0,4.0,0.0,0.0,0.0,52.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0
5,5.0,8256.2978,62902.0,69.0,14.0,94.0,0.0,2.0,5.0,4947.0,3.0,1.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0,5.0,1.0
6,6.0,5380.898636,55350.0,67.0,0.0,13.0,0.0,9.0,6.0,8433.0,3.0,1.0,0.0,1.0,47.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
7,7.0,7216.100311,0.0,101.0,0.0,68.0,0.0,4.0,7.0,755.0,0.0,0.0,2.0,4.0,9.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
8,8.0,24127.50402,14072.0,71.0,13.0,3.0,0.0,2.0,8.0,1351.0,3.0,1.0,0.0,0.0,18.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
9,9.0,7388.178085,28812.0,93.0,17.0,7.0,0.0,8.0,9.0,547.0,3.0,0.0,1.0,1.0,39.0,1.0,0.0,2.0,1.0,2.0,7.0,1.0,1.0,0.0,1.0
10,10.0,4738.992022,0.0,67.0,23.0,5.0,0.0,3.0,10.0,6613.0,1.0,0.0,0.0,1.0,44.0,4.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0
11,11.0,8197.197078,0.0,110.0,27.0,87.0,0.0,3.0,11.0,7576.0,1.0,0.0,0.0,1.0,27.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0
12,12.0,8798.797003,77026.0,110.0,9.0,82.0,2.0,3.0,12.0,1226.0,1.0,0.0,2.0,4.0,55.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
13,13.0,8819.018934,99845.0,110.0,23.0,25.0,1.0,8.0,13.0,6434.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0
14,14.0,5384.431665,83689.0,70.0,21.0,10.0,2.0,8.0,14.0,2965.0,1.0,0.0,0.0,1.0,9.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0
15,15.0,7463.139377,24599.0,64.0,12.0,50.0,1.0,2.0,15.0,626.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
16,16.0,2566.867823,25049.0,67.0,14.0,7.0,0.0,1.0,16.0,2055.0,2.0,0.0,0.0,3.0,55.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0
17,17.0,3945.241604,28855.0,101.0,12.0,59.0,0.0,1.0,17.0,4964.0,1.0,0.0,0.0,1.0,26.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0
18,18.0,5710.333115,51148.0,72.0,9.0,1.0,0.0,7.0,18.0,7739.0,3.0,0.0,0.0,1.0,50.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0
19,19.0,8162.617053,66140.0,101.0,11.0,21.0,0.0,3.0,19.0,1895.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0
20,20.0,2872.051273,57749.0,74.0,31.0,21.0,0.0,1.0,20.0,8914.0,3.0,0.0,0.0,3.0,41.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,1.0,5.0,1.0
21,21.0,3041.791561,13789.0,79.0,8.0,49.0,0.0,1.0,21.0,6589.0,4.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,0.0,1.0
